block,flat_type,unit_no,floor,stack,status,size,cost
104A,2-Room Flexi (Short Lease/99-Year Lease),#04-101,04,101,available,38 Sqm,"$57,500 - 15 Years
$69,000 - 20 Years
$78,500 - 25 Years
$86,300 - 30 Years
$92,900 - 35 Years
$98,500 - 40 Years
$103,200 - 45 Years
$172,500 - 99 Years"
104A,2-Room Flexi (Short Lease/99-Year Lease),#05-101,05,101,available,38 Sqm,"$58,300 - 15 Years
$70,000 - 20 Years
$79,600 - 25 Years
$87,500 - 30 Years
$94,200 - 35 Years
$99,900 - 40 Years
$104,700 - 45 Years
$175,000 - 99 Years"
104A,2-Room Flexi (Short Lease/99-Year Lease),#06-101,06,101,booked,,
104A,2-Room Flexi (Short Lease/99-Year Lease),#01-103,01,103,available,38 Sqm,"$51,700 - 15 Years
$62,000 - 20 Years
$70,600 - 25 Years
$77,600 - 30 Years
$83,500 - 35 Years
$88,500 - 40 Years
$92,800 - 45 Years
$155,100 - 99 Years"
104A,2-Room Flexi (Short Lease/99-Year Lease),#02-103,02,103,available,38 Sqm,"$53,200 - 15 Years
$63,800 - 20 Years
$72,600 - 25 Years
$79,800 - 30 Years
$85,900 - 35 Years
$91,100 - 40 Years
$95,500 - 45 Years
$159,600 - 99 Years"
104A,2-Room Flexi (Short Lease/99-Year Lease),#03-103,03,103,available,38 Sqm,"$54,000 - 15 Years
$64,800 - 20 Years
$73,800 - 25 Years
$81,100 - 30 Years
$87,300 - 35 Years
$92,500 - 40 Years
$97,000 - 45 Years
$162,100 - 99 Years"
104A,2-Room Flexi (Short Lease/99-Year Lease),#04-103,04,103,available,38 Sqm,"$55,900 - 15 Years
$67,100 - 20 Years
$76,300 - 25 Years
$83,900 - 30 Years
$90,300 - 35 Years
$95,800 - 40 Years
$100,400 - 45 Years
$167,800 - 99 Years"
104A,2-Room Flexi (Short Lease/99-Year Lease),#05-103,05,103,available,38 Sqm,"$56,800 - 15 Years
$68,100 - 20 Years
$77,500 - 25 Years
$85,200 - 30 Years
$91,700 - 35 Years
$97,200 - 40 Years
$101,900 - 45 Years
$170,300 - 99 Years"
104A,2-Room Flexi (Short Lease/99-Year Lease),#06-103,06,103,available,38 Sqm,"$56,800 - 15 Years
$68,100 - 20 Years
$77,500 - 25 Years
$85,200 - 30 Years
$91,700 - 35 Years
$97,200 - 40 Years
$101,900 - 45 Years
$170,300 - 99 Years"
104A,2-Room Flexi (Short Lease/99-Year Lease),#01-105,01,105,available,47 Sqm,"$65,000 - 15 Years
$78,000 - 20 Years
$88,700 - 25 Years
$97,500 - 30 Years
$105,000 - 35 Years
$111,300 - 40 Years
$116,700 - 45 Years
$195,000 - 99 Years"
104A,2-Room Flexi (Short Lease/99-Year Lease),#02-105,02,105,available,47 Sqm,"$67,300 - 15 Years
$80,800 - 20 Years
$91,900 - 25 Years
$101,000 - 30 Years
$108,700 - 35 Years
$115,300 - 40 Years
$120,900 - 45 Years
$202,000 - 99 Years"
104A,2-Room Flexi (Short Lease/99-Year Lease),#03-105,03,105,available,47 Sqm,"$68,200 - 15 Years
$81,800 - 20 Years
$93,000 - 25 Years
$102,300 - 30 Years
$110,100 - 35 Years
$116,700 - 40 Years
$122,400 - 45 Years
$204,500 - 99 Years"
104A,2-Room Flexi (Short Lease/99-Year Lease),#04-105,04,105,available,47 Sqm,"$70,300 - 15 Years
$84,400 - 20 Years
$96,000 - 25 Years
$105,500 - 30 Years
$113,600 - 35 Years
$120,400 - 40 Years
$126,200 - 45 Years
$211,000 - 99 Years"
104A,2-Room Flexi (Short Lease/99-Year Lease),#05-105,05,105,booked,,
104A,2-Room Flexi (Short Lease/99-Year Lease),#06-105,06,105,booked,,
104A,2-Room Flexi (Short Lease/99-Year Lease),#01-107,01,107,available,47 Sqm,"$65,000 - 15 Years
$78,000 - 20 Years
$88,700 - 25 Years
$97,500 - 30 Years
$105,000 - 35 Years
$111,300 - 40 Years
$116,700 - 45 Years
$195,000 - 99 Years"
104A,2-Room Flexi (Short Lease/99-Year Lease),#02-107,02,107,available,47 Sqm,"$67,300 - 15 Years
$80,800 - 20 Years
$91,900 - 25 Years
$101,000 - 30 Years
$108,700 - 35 Years
$115,300 - 40 Years
$120,900 - 45 Years
$202,000 - 99 Years"
104A,2-Room Flexi (Short Lease/99-Year Lease),#03-107,03,107,booked,,
104A,2-Room Flexi (Short Lease/99-Year Lease),#04-107,04,107,available,47 Sqm,"$70,300 - 15 Years
$84,400 - 20 Years
$96,000 - 25 Years
$105,500 - 30 Years
$113,600 - 35 Years
$120,400 - 40 Years
$126,200 - 45 Years
$211,000 - 99 Years"
104A,2-Room Flexi (Short Lease/99-Year Lease),#05-107,05,107,booked,,
104A,2-Room Flexi (Short Lease/99-Year Lease),#06-107,06,107,booked,,
104A,2-Room Flexi (Short Lease/99-Year Lease),#01-109,01,109,available,38 Sqm,"$51,700 - 15 Years
$62,000 - 20 Years
$70,600 - 25 Years
$77,600 - 30 Years
$83,500 - 35 Years
$88,500 - 40 Years
$92,800 - 45 Years
$155,100 - 99 Years"
104A,2-Room Flexi (Short Lease/99-Year Lease),#02-109,02,109,available,38 Sqm,"$53,200 - 15 Years
$63,800 - 20 Years
$72,600 - 25 Years
$79,800 - 30 Years
$85,900 - 35 Years
$91,100 - 40 Years
$95,500 - 45 Years
$159,600 - 99 Years"
104A,2-Room Flexi (Short Lease/99-Year Lease),#03-109,03,109,booked,,
104A,2-Room Flexi (Short Lease/99-Year Lease),#04-109,04,109,available,38 Sqm,"$55,900 - 15 Years
$67,100 - 20 Years
$76,300 - 25 Years
$83,900 - 30 Years
$90,300 - 35 Years
$95,800 - 40 Years
$100,400 - 45 Years
$167,800 - 99 Years"
104A,2-Room Flexi (Short Lease/99-Year Lease),#05-109,05,109,available,38 Sqm,"$56,800 - 15 Years
$68,100 - 20 Years
$77,500 - 25 Years
$85,200 - 30 Years
$91,700 - 35 Years
$97,200 - 40 Years
$101,900 - 45 Years
$170,300 - 99 Years"
104A,2-Room Flexi (Short Lease/99-Year Lease),#06-109,06,109,available,38 Sqm,"$56,800 - 15 Years
$68,100 - 20 Years
$77,500 - 25 Years
$85,200 - 30 Years
$91,700 - 35 Years
$97,200 - 40 Years
$101,900 - 45 Years
$170,300 - 99 Years"
104A,2-Room Flexi (Short Lease/99-Year Lease),#03-95,03,95,available,38 Sqm,"$55,600 - 15 Years
$66,700 - 20 Years
$75,900 - 25 Years
$83,400 - 30 Years
$89,800 - 35 Years
$95,200 - 40 Years
$99,800 - 45 Years
$166,800 - 99 Years"
104A,2-Room Flexi (Short Lease/99-Year Lease),#04-95,04,95,available,38 Sqm,"$57,500 - 15 Years
$69,000 - 20 Years
$78,500 - 25 Years
$86,300 - 30 Years
$92,900 - 35 Years
$98,500 - 40 Years
$103,200 - 45 Years
$172,500 - 99 Years"
104A,2-Room Flexi (Short Lease/99-Year Lease),#05-95,05,95,available,38 Sqm,"$58,300 - 15 Years
$70,000 - 20 Years
$79,600 - 25 Years
$87,500 - 30 Years
$94,200 - 35 Years
$99,900 - 40 Years
$104,700 - 45 Years
$175,000 - 99 Years"
104A,2-Room Flexi (Short Lease/99-Year Lease),#06-95,06,95,available,38 Sqm,"$58,300 - 15 Years
$70,000 - 20 Years
$79,600 - 25 Years
$87,500 - 30 Years
$94,200 - 35 Years
$99,900 - 40 Years
$104,700 - 45 Years
$175,000 - 99 Years"
104A,2-Room Flexi (Short Lease/99-Year Lease),#03-97,03,97,booked,,
104A,2-Room Flexi (Short Lease/99-Year Lease),#04-97,04,97,booked,,
104A,2-Room Flexi (Short Lease/99-Year Lease),#05-97,05,97,booked,,
104A,2-Room Flexi (Short Lease/99-Year Lease),#06-97,06,97,booked,,
104A,2-Room Flexi (Short Lease/99-Year Lease),#03-99,03,99,available,47 Sqm,"$70,200 - 15 Years
$84,200 - 20 Years
$95,800 - 25 Years
$105,300 - 30 Years
$113,300 - 35 Years
$120,200 - 40 Years
$125,900 - 45 Years
$210,500 - 99 Years"
104A,2-Room Flexi (Short Lease/99-Year Lease),#04-99,04,99,booked,,
104A,2-Room Flexi (Short Lease/99-Year Lease),#05-99,05,99,booked,,
104A,2-Room Flexi (Short Lease/99-Year Lease),#06-99,06,99,booked,,
104A,3-Room,#01-67,01,67,available,68 Sqm,"$296,600"
104A,3-Room,#02-67,02,67,available,68 Sqm,"$308,800"
104A,3-Room,#03-67,03,67,available,68 Sqm,"$311,800"
104A,3-Room,#04-67,04,67,available,68 Sqm,"$320,900"
104A,3-Room,#05-67,05,67,available,68 Sqm,"$323,900"
104A,3-Room,#06-67,06,67,available,68 Sqm,"$326,400"
104A,3-Room,#07-67,07,67,available,68 Sqm,"$328,900"
104A,3-Room,#08-67,08,67,available,68 Sqm,"$331,400"
104A,3-Room,#09-67,09,67,available,68 Sqm,"$332,400"
104A,3-Room,#10-67,10,67,available,68 Sqm,"$333,400"
104A,3-Room,#11-67,11,67,available,68 Sqm,"$334,400"
104A,3-Room,#12-67,12,67,available,68 Sqm,"$335,400"
104A,3-Room,#13-67,13,67,available,68 Sqm,"$336,400"
104A,3-Room,#14-67,14,67,available,68 Sqm,"$337,400"
104A,3-Room,#15-67,15,67,available,68 Sqm,"$338,400"
104A,3-Room,#16-67,16,67,available,68 Sqm,"$339,400"
104A,3-Room,#17-67,17,67,booked,,
104A,3-Room,#02-71,02,71,available,68 Sqm,"$311,800"
104A,3-Room,#03-71,03,71,available,68 Sqm,"$314,800"
104A,3-Room,#04-71,04,71,available,68 Sqm,"$323,900"
104A,3-Room,#05-71,05,71,available,68 Sqm,"$326,900"
104A,3-Room,#06-71,06,71,available,68 Sqm,"$329,400"
104A,3-Room,#07-71,07,71,available,68 Sqm,"$331,900"
104A,3-Room,#08-71,08,71,available,68 Sqm,"$334,400"
104A,3-Room,#09-71,09,71,available,68 Sqm,"$335,400"
104A,3-Room,#10-71,10,71,available,68 Sqm,"$336,400"
104A,3-Room,#11-71,11,71,booked,,
104A,3-Room,#12-71,12,71,booked,,
104A,3-Room,#13-71,13,71,booked,,
104A,3-Room,#14-71,14,71,available,68 Sqm,"$340,400"
104A,3-Room,#15-71,15,71,available,68 Sqm,"$341,400"
104A,3-Room,#16-71,16,71,available,68 Sqm,"$342,400"
104A,3-Room,#17-71,17,71,available,68 Sqm,"$342,400"
104A,3-Room,#02-73,02,73,available,68 Sqm,"$311,800"
104A,3-Room,#03-73,03,73,available,68 Sqm,"$314,800"
104A,3-Room,#04-73,04,73,available,68 Sqm,"$323,900"
104A,3-Room,#05-73,05,73,available,68 Sqm,"$326,900"
104A,3-Room,#06-73,06,73,available,68 Sqm,"$329,400"
104A,3-Room,#07-73,07,73,available,68 Sqm,"$331,900"
104A,3-Room,#08-73,08,73,available,68 Sqm,"$334,400"
104A,3-Room,#09-73,09,73,booked,,
104A,3-Room,#10-73,10,73,available,68 Sqm,"$336,400"
104A,3-Room,#11-73,11,73,available,68 Sqm,"$337,400"
104A,3-Room,#12-73,12,73,available,68 Sqm,"$338,400"
104A,3-Room,#13-73,13,73,available,68 Sqm,"$339,400"
104A,3-Room,#14-73,14,73,available,68 Sqm,"$340,400"
104A,3-Room,#15-73,15,73,available,68 Sqm,"$341,400"
104A,3-Room,#16-73,16,73,available,68 Sqm,"$342,400"
104A,3-Room,#17-73,17,73,available,68 Sqm,"$342,400"
104A,3-Room,#04-83,04,83,available,68 Sqm,"$323,900"
104A,3-Room,#05-83,05,83,available,68 Sqm,"$326,900"
104A,3-Room,#06-83,06,83,available,68 Sqm,"$329,400"
104A,3-Room,#07-83,07,83,available,68 Sqm,"$331,900"
104A,3-Room,#08-83,08,83,available,68 Sqm,"$334,400"
104A,3-Room,#09-83,09,83,available,68 Sqm,"$335,400"
104A,3-Room,#10-83,10,83,available,68 Sqm,"$336,400"
104A,3-Room,#11-83,11,83,available,68 Sqm,"$337,400"
104A,3-Room,#12-83,12,83,available,68 Sqm,"$338,400"
104A,3-Room,#13-83,13,83,available,68 Sqm,"$339,400"
104A,3-Room,#14-83,14,83,available,68 Sqm,"$340,400"
104A,3-Room,#15-83,15,83,available,68 Sqm,"$347,500"
104A,3-Room,#16-83,16,83,available,68 Sqm,"$348,500"
104A,3-Room,#17-83,17,83,available,68 Sqm,"$348,500"
104A,3-Room,#02-85,02,85,available,68 Sqm,"$311,800"
104A,3-Room,#03-85,03,85,available,68 Sqm,"$314,800"
104A,3-Room,#04-85,04,85,available,68 Sqm,"$323,900"
104A,3-Room,#05-85,05,85,available,68 Sqm,"$326,900"
104A,3-Room,#06-85,06,85,available,68 Sqm,"$329,400"
104A,3-Room,#07-85,07,85,available,68 Sqm,"$337,900"
104A,3-Room,#08-85,08,85,available,68 Sqm,"$340,400"
104A,3-Room,#09-85,09,85,available,68 Sqm,"$341,400"
104A,3-Room,#10-85,10,85,available,68 Sqm,"$342,400"
104A,3-Room,#11-85,11,85,available,68 Sqm,"$343,400"
104A,3-Room,#12-85,12,85,available,68 Sqm,"$344,400"
104A,3-Room,#13-85,13,85,available,68 Sqm,"$345,400"
104A,3-Room,#14-85,14,85,available,68 Sqm,"$346,400"
104A,3-Room,#15-85,15,85,booked,,
104A,3-Room,#16-85,16,85,booked,,
104A,3-Room,#17-85,17,85,booked,,
104A,3-Room,#03-87,03,87,available,68 Sqm,"$314,800"
104A,3-Room,#04-87,04,87,available,68 Sqm,"$323,900"
104A,3-Room,#05-87,05,87,available,68 Sqm,"$326,900"
104A,3-Room,#06-87,06,87,available,68 Sqm,"$329,400"
104A,3-Room,#07-87,07,87,available,68 Sqm,"$337,900"
104A,3-Room,#08-87,08,87,booked,,
104A,3-Room,#09-87,09,87,available,68 Sqm,"$341,400"
104A,3-Room,#10-87,10,87,booked,,
104A,3-Room,#11-87,11,87,available,68 Sqm,"$343,400"
104A,3-Room,#12-87,12,87,available,68 Sqm,"$344,400"
104A,3-Room,#13-87,13,87,available,68 Sqm,"$345,400"
104A,3-Room,#14-87,14,87,booked,,
104A,3-Room,#15-87,15,87,booked,,
104A,3-Room,#16-87,16,87,booked,,
104A,3-Room,#17-87,17,87,available,68 Sqm,"$348,400"
104A,4-Room,#02-61,02,61,available,93 Sqm,"$471,500"
104A,4-Room,#03-61,03,61,available,93 Sqm,"$476,000"
104A,4-Room,#04-61,04,61,available,93 Sqm,"$480,500"
104A,4-Room,#05-61,05,61,available,93 Sqm,"$485,000"
104A,4-Room,#06-61,06,61,available,93 Sqm,"$488,500"
104A,4-Room,#07-61,07,61,available,93 Sqm,"$492,000"
104A,4-Room,#08-61,08,61,available,93 Sqm,"$495,500"
104A,4-Room,#09-61,09,61,available,93 Sqm,"$496,900"
104A,4-Room,#10-61,10,61,available,93 Sqm,"$498,300"
104A,4-Room,#11-61,11,61,available,93 Sqm,"$499,700"
104A,4-Room,#12-61,12,61,available,93 Sqm,"$501,100"
104A,4-Room,#13-61,13,61,available,93 Sqm,"$502,500"
104A,4-Room,#14-61,14,61,available,93 Sqm,"$503,900"
104A,4-Room,#15-61,15,61,available,93 Sqm,"$505,300"
104A,4-Room,#16-61,16,61,available,93 Sqm,"$506,700"
104A,4-Room,#17-61,17,61,available,93 Sqm,"$506,700"
104A,4-Room,#02-63,02,63,available,93 Sqm,"$462,700"
104A,4-Room,#03-63,03,63,available,93 Sqm,"$467,200"
104A,4-Room,#04-63,04,63,available,93 Sqm,"$471,700"
104A,4-Room,#05-63,05,63,available,93 Sqm,"$476,200"
104A,4-Room,#06-63,06,63,available,93 Sqm,"$479,700"
104A,4-Room,#07-63,07,63,available,93 Sqm,"$483,200"
104A,4-Room,#08-63,08,63,available,93 Sqm,"$486,700"
104A,4-Room,#09-63,09,63,available,93 Sqm,"$488,100"
104A,4-Room,#10-63,10,63,available,93 Sqm,"$489,500"
104A,4-Room,#11-63,11,63,available,93 Sqm,"$490,900"
104A,4-Room,#12-63,12,63,available,93 Sqm,"$492,300"
104A,4-Room,#13-63,13,63,available,93 Sqm,"$493,700"
104A,4-Room,#14-63,14,63,available,93 Sqm,"$495,100"
104A,4-Room,#15-63,15,63,available,93 Sqm,"$496,500"
104A,4-Room,#16-63,16,63,available,93 Sqm,"$497,900"
104A,4-Room,#17-63,17,63,available,93 Sqm,"$497,900"
104A,4-Room,#02-65,02,65,available,93 Sqm,"$453,900"
104A,4-Room,#03-65,03,65,available,93 Sqm,"$458,400"
104A,4-Room,#04-65,04,65,available,93 Sqm,"$471,700"
104A,4-Room,#05-65,05,65,available,93 Sqm,"$476,200"
104A,4-Room,#06-65,06,65,available,93 Sqm,"$479,700"
104A,4-Room,#07-65,07,65,available,93 Sqm,"$483,200"
104A,4-Room,#08-65,08,65,available,93 Sqm,"$486,700"
104A,4-Room,#09-65,09,65,available,93 Sqm,"$488,100"
104A,4-Room,#10-65,10,65,booked,,
104A,4-Room,#11-65,11,65,booked,,
104A,4-Room,#12-65,12,65,available,93 Sqm,"$492,300"
104A,4-Room,#13-65,13,65,available,93 Sqm,"$493,700"
104A,4-Room,#14-65,14,65,available,93 Sqm,"$495,100"
104A,4-Room,#15-65,15,65,booked,,
104A,4-Room,#16-65,16,65,available,93 Sqm,"$497,900"
104A,4-Room,#17-65,17,65,available,93 Sqm,"$497,900"
104A,4-Room,#01-69,01,69,available,93 Sqm,"$432,100"
104A,4-Room,#02-69,02,69,available,93 Sqm,"$449,500"
104A,4-Room,#03-69,03,69,available,93 Sqm,"$454,000"
104A,4-Room,#04-69,04,69,available,93 Sqm,"$467,300"
104A,4-Room,#05-69,05,69,available,93 Sqm,"$471,800"
104A,4-Room,#06-69,06,69,available,93 Sqm,"$475,300"
104A,4-Room,#07-69,07,69,available,93 Sqm,"$478,800"
104A,4-Room,#08-69,08,69,available,93 Sqm,"$482,300"
104A,4-Room,#09-69,09,69,available,93 Sqm,"$483,700"
104A,4-Room,#10-69,10,69,available,93 Sqm,"$485,100"
104A,4-Room,#11-69,11,69,available,93 Sqm,"$486,500"
104A,4-Room,#12-69,12,69,available,93 Sqm,"$487,900"
104A,4-Room,#13-69,13,69,available,93 Sqm,"$489,300"
104A,4-Room,#14-69,14,69,available,93 Sqm,"$490,700"
104A,4-Room,#15-69,15,69,available,93 Sqm,"$492,100"
104A,4-Room,#16-69,16,69,available,93 Sqm,"$493,500"
104A,4-Room,#17-69,17,69,available,93 Sqm,"$493,500"
104A,4-Room,#08-75,08,75,available,93 Sqm,"$495,500"
104A,4-Room,#09-75,09,75,available,93 Sqm,"$496,900"
104A,4-Room,#10-75,10,75,available,93 Sqm,"$498,300"
104A,4-Room,#11-75,11,75,available,93 Sqm,"$499,700"
104A,4-Room,#12-75,12,75,available,93 Sqm,"$501,100"
104A,4-Room,#13-75,13,75,available,93 Sqm,"$502,500"
104A,4-Room,#14-75,14,75,available,93 Sqm,"$503,900"
104A,4-Room,#15-75,15,75,available,93 Sqm,"$505,300"
104A,4-Room,#16-75,16,75,available,93 Sqm,"$506,700"
104A,4-Room,#17-75,17,75,available,93 Sqm,"$506,700"
104A,4-Room,#05-77,05,77,available,93 Sqm,"$489,400"
104A,4-Room,#06-77,06,77,available,93 Sqm,"$497,300"
104A,4-Room,#07-77,07,77,available,93 Sqm,"$500,800"
104A,4-Room,#08-77,08,77,available,93 Sqm,"$504,300"
104A,4-Room,#09-77,09,77,available,93 Sqm,"$505,700"
104A,4-Room,#10-77,10,77,available,93 Sqm,"$507,100"
104A,4-Room,#11-77,11,77,available,93 Sqm,"$508,500"
104A,4-Room,#12-77,12,77,available,93 Sqm,"$509,900"
104A,4-Room,#13-77,13,77,available,93 Sqm,"$511,300"
104A,4-Room,#14-77,14,77,available,93 Sqm,"$512,700"
104A,4-Room,#15-77,15,77,available,93 Sqm,"$514,100"
104A,4-Room,#16-77,16,77,available,93 Sqm,"$515,500"
104A,4-Room,#17-77,17,77,available,93 Sqm,"$515,500"
104A,4-Room,#05-79,05,79,available,93 Sqm,"$485,000"
104A,4-Room,#06-79,06,79,available,93 Sqm,"$488,500"
104A,4-Room,#07-79,07,79,available,93 Sqm,"$492,000"
104A,4-Room,#08-79,08,79,available,93 Sqm,"$495,500"
104A,4-Room,#09-79,09,79,available,93 Sqm,"$496,900"
104A,4-Room,#10-79,10,79,available,93 Sqm,"$498,300"
104A,4-Room,#11-79,11,79,available,93 Sqm,"$499,700"
104A,4-Room,#12-79,12,79,available,93 Sqm,"$501,100"
104A,4-Room,#13-79,13,79,available,93 Sqm,"$502,500"
104A,4-Room,#14-79,14,79,available,93 Sqm,"$503,900"
104A,4-Room,#15-79,15,79,available,93 Sqm,"$505,300"
104A,4-Room,#16-79,16,79,booked,,
104A,4-Room,#17-79,17,79,available,93 Sqm,"$506,700"
104A,4-Room,#04-81,04,81,available,93 Sqm,"$480,500"
104A,4-Room,#05-81,05,81,available,93 Sqm,"$485,000"
104A,4-Room,#06-81,06,81,available,93 Sqm,"$488,500"
104A,4-Room,#07-81,07,81,available,93 Sqm,"$492,000"
104A,4-Room,#08-81,08,81,available,93 Sqm,"$495,500"
104A,4-Room,#09-81,09,81,available,93 Sqm,"$496,900"
104A,4-Room,#10-81,10,81,available,93 Sqm,"$498,300"
104A,4-Room,#11-81,11,81,available,93 Sqm,"$499,700"
104A,4-Room,#12-81,12,81,booked,,
104A,4-Room,#13-81,13,81,available,93 Sqm,"$502,500"
104A,4-Room,#14-81,14,81,available,93 Sqm,"$503,900"
104A,4-Room,#15-81,15,81,available,93 Sqm,"$505,300"
104A,4-Room,#16-81,16,81,available,93 Sqm,"$506,700"
104A,4-Room,#17-81,17,81,available,93 Sqm,"$506,700"
104A,4-Room,#03-89,03,89,available,93 Sqm,"$476,000"
104A,4-Room,#04-89,04,89,available,93 Sqm,"$480,500"
104A,4-Room,#05-89,05,89,available,93 Sqm,"$485,000"
104A,4-Room,#06-89,06,89,available,93 Sqm,"$488,500"
104A,4-Room,#07-89,07,89,available,93 Sqm,"$500,900"
104A,4-Room,#08-89,08,89,available,93 Sqm,"$504,400"
104A,4-Room,#09-89,09,89,available,93 Sqm,"$505,800"
104A,4-Room,#10-89,10,89,available,93 Sqm,"$507,200"
104A,4-Room,#11-89,11,89,available,93 Sqm,"$508,600"
104A,4-Room,#12-89,12,89,available,93 Sqm,"$510,000"
104A,4-Room,#13-89,13,89,available,93 Sqm,"$511,400"
104A,4-Room,#14-89,14,89,available,93 Sqm,"$512,800"
104A,4-Room,#15-89,15,89,available,93 Sqm,"$514,200"
104A,4-Room,#16-89,16,89,available,93 Sqm,"$515,600"
104A,4-Room,#17-89,17,89,available,93 Sqm,"$515,600"
104A,4-Room,#05-91,05,91,available,93 Sqm,"$489,400"
104A,4-Room,#06-91,06,91,available,93 Sqm,"$497,300"
104A,4-Room,#07-91,07,91,available,93 Sqm,"$509,700"
104A,4-Room,#08-91,08,91,available,93 Sqm,"$513,200"
104A,4-Room,#09-91,09,91,available,93 Sqm,"$514,600"
104A,4-Room,#10-91,10,91,available,93 Sqm,"$516,000"
104A,4-Room,#11-91,11,91,available,93 Sqm,"$517,400"
104A,4-Room,#12-91,12,91,available,93 Sqm,"$518,800"
104A,4-Room,#13-91,13,91,available,93 Sqm,"$520,200"
104A,4-Room,#14-91,14,91,available,93 Sqm,"$521,600"
104A,4-Room,#15-91,15,91,available,93 Sqm,"$523,000"
104A,4-Room,#16-91,16,91,available,93 Sqm,"$524,400"
104A,4-Room,#17-91,17,91,available,93 Sqm,"$524,400"
104A,4-Room,#05-93,05,93,available,93 Sqm,"$485,000"
104A,4-Room,#06-93,06,93,available,93 Sqm,"$488,500"
104A,4-Room,#07-93,07,93,available,93 Sqm,"$500,900"
104A,4-Room,#08-93,08,93,available,93 Sqm,"$504,400"
104A,4-Room,#09-93,09,93,available,93 Sqm,"$505,800"
104A,4-Room,#10-93,10,93,available,93 Sqm,"$507,200"
104A,4-Room,#11-93,11,93,available,93 Sqm,"$508,600"
104A,4-Room,#12-93,12,93,available,93 Sqm,"$510,000"
104A,4-Room,#13-93,13,93,available,93 Sqm,"$511,400"
104A,4-Room,#14-93,14,93,available,93 Sqm,"$512,800"
104A,4-Room,#15-93,15,93,available,93 Sqm,"$514,200"
104A,4-Room,#16-93,16,93,available,93 Sqm,"$515,600"
104A,4-Room,#17-93,17,93,available,93 Sqm,"$515,600"
105A,4-Room,#05-38,05,38,booked,,
105A,4-Room,#06-38,06,38,available,94 Sqm,"$478,600"
105A,4-Room,#07-38,07,38,available,94 Sqm,"$486,400"
105A,4-Room,#08-38,08,38,available,94 Sqm,"$494,100"
105A,4-Room,#09-38,09,38,available,94 Sqm,"$495,500"
105A,4-Room,#10-38,10,38,available,94 Sqm,"$496,900"
105A,4-Room,#11-38,11,38,available,94 Sqm,"$498,300"
105A,4-Room,#12-38,12,38,booked,,
105A,4-Room,#13-38,13,38,booked,,
105A,4-Room,#14-38,14,38,booked,,
105A,4-Room,#15-38,15,38,booked,,
105A,4-Room,#16-38,16,38,booked,,
105A,4-Room,#17-38,17,38,booked,,
105A,4-Room,#03-40,03,40,available,94 Sqm,"$457,600"
105A,4-Room,#04-40,04,40,available,94 Sqm,"$462,100"
105A,4-Room,#05-40,05,40,available,94 Sqm,"$475,100"
105A,4-Room,#06-40,06,40,booked,,
105A,4-Room,#07-40,07,40,available,94 Sqm,"$486,400"
105A,4-Room,#08-40,08,40,available,94 Sqm,"$494,100"
105A,4-Room,#09-40,09,40,available,94 Sqm,"$495,500"
105A,4-Room,#10-40,10,40,available,94 Sqm,"$496,900"
105A,4-Room,#11-40,11,40,available,94 Sqm,"$498,300"
105A,4-Room,#12-40,12,40,available,94 Sqm,"$499,700"
105A,4-Room,#13-40,13,40,available,94 Sqm,"$501,100"
105A,4-Room,#14-40,14,40,available,94 Sqm,"$502,500"
105A,4-Room,#15-40,15,40,available,94 Sqm,"$503,900"
105A,4-Room,#16-40,16,40,available,94 Sqm,"$505,300"
105A,4-Room,#17-40,17,40,available,94 Sqm,"$505,300"
105A,5-Room,#03-34,03,34,booked,,
105A,5-Room,#04-34,04,34,booked,,
105A,5-Room,#05-34,05,34,booked,,
105A,5-Room,#06-34,06,34,booked,,
105A,5-Room,#07-34,07,34,booked,,
105A,5-Room,#08-34,08,34,booked,,
105A,5-Room,#09-34,09,34,booked,,
105A,5-Room,#10-34,10,34,booked,,
105A,5-Room,#11-34,11,34,booked,,
105A,5-Room,#12-34,12,34,booked,,
105A,5-Room,#13-34,13,34,booked,,
105A,5-Room,#14-34,14,34,booked,,
105A,5-Room,#15-34,15,34,booked,,
105A,5-Room,#16-34,16,34,booked,,
105A,5-Room,#17-34,17,34,booked,,
105A,5-Room,#03-36,03,36,booked,,
105A,5-Room,#04-36,04,36,booked,,
105A,5-Room,#05-36,05,36,booked,,
105A,5-Room,#06-36,06,36,booked,,
105A,5-Room,#07-36,07,36,booked,,
105A,5-Room,#08-36,08,36,booked,,
105A,5-Room,#09-36,09,36,booked,,
105A,5-Room,#10-36,10,36,booked,,
105A,5-Room,#11-36,11,36,booked,,
105A,5-Room,#12-36,12,36,booked,,
105A,5-Room,#13-36,13,36,booked,,
105A,5-Room,#14-36,14,36,booked,,
105A,5-Room,#15-36,15,36,booked,,
105A,5-Room,#16-36,16,36,booked,,
105A,5-Room,#17-36,17,36,booked,,
105A,5-Room,#02-42,02,42,booked,,
105A,5-Room,#03-42,03,42,booked,,
105A,5-Room,#04-42,04,42,booked,,
105A,5-Room,#05-42,05,42,booked,,
105A,5-Room,#06-42,06,42,booked,,
105A,5-Room,#07-42,07,42,booked,,
105B,4-Room,#04-46,04,46,available,94 Sqm,"$462,100"
105B,4-Room,#05-46,05,46,available,94 Sqm,"$475,100"
105B,4-Room,#06-46,06,46,available,94 Sqm,"$478,600"
105B,4-Room,#07-46,07,46,available,94 Sqm,"$482,100"
105B,4-Room,#08-46,08,46,available,94 Sqm,"$485,600"
